Number,Date,Open,High,Low,Close,Adj Close,Volume,diff_Open,diff_High,diff_Low,diff_Close,diff_Adj Close,diff_Volume
0,1980-12-12,0.128348,0.128906,0.128348,0.128348,0.100266,469033600.0,,,,,,
1,1980-12-15,0.12220999999999999,0.12220999999999999,0.121652,0.121652,0.09503500000000001,175884800.0,-0.0006505565766945578,-0.00066182357301705,-0.0009474347736577452,-0.0006649453823237337,-0.0005212979252023662,-0.04550547781707925
2,1980-12-16,0.11328099999999999,0.11328099999999999,0.112723,0.112723,0.088059,105728000.0,-0.0009463700999194685,-0.0008825302693353088,-0.0012633878575253896,-0.0008866931479642501,-0.0006951967742710232,-0.010890437573400488
3,1980-12-17,0.115513,0.11607100000000001,0.115513,0.115513,0.090239,86441600.0,0.0002365660278889312,0.0002757598220904386,0.000394764489024061,0.0002770605759682227,0.00021724899195969458,-0.0029938271873236975
4,1980-12-18,0.118862,0.11942,0.118862,0.118862,0.092855,73449600.0,0.00035495503019714346,0.00033101062515443426,0.0004738588794772675,0.0003325719960278047,0.00026069879035163263,-0.002016747698777868
5,1980-12-19,0.126116,0.126674,0.126116,0.126116,0.098522,48630400.0,0.0007688395906390235,0.0007169755374351376,0.0010263876714625597,0.0007203574975173799,0.0005647477235943071,-0.003852683534906686
6,1980-12-22,0.13225399999999998,0.13281300000000001,0.13225399999999998,0.13225399999999998,0.103317,37363200.0,0.0006505565766945549,0.0006067704472448729,0.0008684818758529307,0.0006095332671300875,0.00047784812681042957,-0.0017490070560090823
7,1980-12-23,0.13783499999999999,0.13839300000000002,0.13783499999999999,0.13783499999999999,0.107677,46950400.0,0.0005915210580860747,0.0005515196441808745,0.0007896704706965179,0.0005542204568023839,0.00043449798391938775,0.0014882207156498752
8,1980-12-24,0.14508900000000002,0.145647,0.14508900000000002,0.14508900000000002,0.113344,48003200.0,0.0007688395906390264,0.0007169755374351349,0.0010263876714625639,0.0007203574975173827,0.0005647477235943071,0.00016342610662510313
9,1980-12-26,0.15848199999999998,0.15904000000000001,0.15848199999999998,0.15848199999999998,0.123806,55574400.0,0.001419502155697325,0.0013237459846800106,0.0018950110399638825,0.0013299900695134031,0.0010425958504047352,0.0011752771072188267
10,1980-12-29,0.16071400000000002,0.161272,0.16071400000000002,0.16071400000000002,0.12555,93161600.0,0.00023656602788893412,0.00022060785767234815,0.0003158115912192543,0.00022164846077458203,0.0001737991935677551,0.00583465972163666
