Date,Open,High,Low,Close,Adj Close,Volume
2010-03-03,4705.000000,4812.000000,4675.000000,4806.410156,1762.665405,347308
2010-03-04,4770.189941,4900.000000,4762.000000,4852.149902,1779.439697,370936
2010-03-05,4900.000000,4939.000000,4861.000000,4933.000000,1809.089600,302760
2010-03-09,4929.500000,4931.000000,4814.100098,4860.000000,1782.318359,255787
2010-03-10,4860.000000,4967.000000,4821.000000,4894.879883,1795.110229,330355
2010-03-11,4871.000000,4930.000000,4844.580078,4870.000000,1785.985596,248655
2010-03-12,4895.000000,4988.000000,4861.000000,4960.000000,1818.991699,276983
2010-03-15,4925.000000,4965.000000,4895.000000,4895.000000,1795.154175,202703
2010-03-16,4920.000000,4975.000000,4898.000000,4975.000000,1824.492432,247395
2010-03-17,5010.649902,5113.770020,4995.000000,5067.009766,1858.235718,485243
2010-03-18,5047.000000,5097.689941,4982.279785,4982.910156,1827.393311,252850
2010-03-19,5000.000000,5045.000000,4950.000000,4987.750000,1829.168579,281090
2010-03-22,4942.060059,4955.000000,4855.490234,4927.200195,1806.962769,248250
2010-03-23,4949.430176,5000.000000,4902.109863,4983.939941,1827.771240,537074
2010-03-24,4989.500000,4999.000000,4911.000000,4931.000000,1808.355957,241823
2010-03-25,4911.000000,5050.000000,4911.000000,5040.000000,1848.329834,324343
2010-03-26,5040.000000,5169.950195,5031.200195,5154.000000,1890.137817,371144
2010-03-29,5154.000000,5395.000000,5154.000000,5387.000000,1975.586182,485387
2010-03-30,5400.000000,5425.000000,5291.250000,5390.000000,1976.686646,367967
2010-03-31,5365.009766,5497.000000,5350.000000,5430.000000,1991.356201,344493
2010-04-01,5430.000000,5674.459961,5430.000000,5639.879883,2068.325195,472106
2010-04-02,5650.000000,5674.750000,5537.529785,5628.299805,2064.078613,262135
2010-04-05,5661.000000,5674.990234,5581.250000,5600.580078,2053.912842,167232
2010-04-06,5582.000000,5653.000000,5532.279785,5545.000000,2033.530273,279449
2010-04-07,5539.000000,5569.970215,5401.000000,5410.000000,1984.021240,302933
2010-04-08,5354.700195,5454.000000,5325.500000,5453.000000,1999.790527,348705
2010-04-09,5500.009766,5555.000000,5465.060059,5541.000000,2032.063232,250905
2010-04-12,5580.500000,5644.870117,5520.000000,5611.120117,2057.778564,234621
2010-04-13,5560.000000,5659.979980,5556.109863,5638.899902,2067.966309,533878
2010-04-14,5680.000000,5788.319824,5680.000000,5760.000000,2112.377197,375779
2010-04-15,5800.000000,5820.000000,5705.549805,5811.410156,2131.231201,409136
