Date,Open,High,Low,Close,Adj Close,Volume
2011-11-21,79.000000,79.370003,75.849998,75.989998,42.124317,293803296
2011-11-22,76.940002,77.760002,75.099998,76.400002,42.351593,272599360
2011-11-23,75.000000,77.440002,74.419998,76.800003,42.573334,335403040
2011-11-24,76.730003,77.290001,73.820000,73.820000,40.921398,177337888
2011-11-25,75.400002,78.750000,73.750000,78.269997,43.388210,319155936
2011-11-28,80.000000,83.070000,79.519997,83.000000,46.010235,320434016
2011-11-29,83.519997,83.750000,81.830002,82.580002,45.777420,251721600
2011-11-30,82.099998,87.690002,81.029999,87.550003,48.532501,448111296
2011-12-01,89.139999,89.900002,86.410004,87.699997,48.615643,392995200
2011-12-02,88.150002,91.279999,86.500000,89.500000,49.613449,410145152
2011-12-05,89.559998,90.519997,88.959999,89.930000,49.851822,202788432
2011-12-06,88.940002,89.320000,85.750000,85.900002,47.617825,306040576
2011-12-07,87.180000,87.470001,83.750000,85.250000,47.257519,356619328
2011-12-08,86.010002,87.839996,85.300003,85.989998,47.667717,281726688
2011-12-09,84.120003,84.629997,81.650002,82.400002,45.677635,329421184
2011-12-12,83.510002,84.800003,79.169998,79.900002,44.291786,267378544
2011-12-13,79.809998,82.889999,78.029999,82.720001,45.855026,388135520
2011-12-14,81.900002,83.650002,80.360001,80.800003,44.790695,352715616
2011-12-15,79.980003,82.550003,79.760002,82.269997,45.605576,326773184
2011-12-16,83.050003,83.379997,80.510002,80.629997,44.696465,222904096
2011-12-19,90.000000,122.910004,79.150002,81.800003,45.345039,379829440
2011-12-20,77.419998,82.709999,77.419998,82.709999,45.849483,371405728
2011-12-21,80.500000,84.000000,79.000000,80.300003,44.513527,338671520
2011-12-22,84.260002,81.400002,79.000000,80.000000,44.347225,305987680
2011-12-23,81.889999,81.190002,78.599998,80.000000,44.347225,2092700
2011-12-26,81.000000,82.940002,80.510002,81.419998,45.134388,349265440
2011-12-27,80.849998,82.769997,79.290001,80.000000,44.347225,299346528
2011-12-28,79.989998,80.199997,79.029999,79.279999,43.948097,289001568
2011-12-29,73.620003,79.010002,77.199997,78.800003,43.682014,244386736
2011-12-30,78.529999,80.019997,78.000000,79.400002,44.014610,168210016
2012-01-03,null,null,null,null,null,null
2012-01-04,null,null,null,null,null,null
2012-01-05,null,null,null,null,null,null
2012-01-06,null,null,null,null,null,null
2012-01-10,85.610001,86.809998,84.089996,86.809998,48.122276,311934592
2012-01-11,85.529999,85.529999,84.849998,84.849998,47.035770,282229408
2012-01-12,85.110001,86.379997,84.300003,84.300003,46.730881,279302848
2012-01-13,85.599998,85.070000,83.540001,83.599998,46.342842,294300640
2012-01-16,83.019997,83.949997,59.171001,83.949997,46.536865,302569600
2012-01-17,83.059998,96.082497,84.320000,84.660004,46.930450,361550
2012-01-18,84.199997,97.646400,84.110001,84.930000,47.080124,338497
2012-01-19,84.110001,97.416298,84.110001,85.699997,47.506954,340205
2012-01-20,85.989998,98.301903,84.230003,85.129997,47.190987,379141
2012-01-23,83.900002,98.347900,68.416000,72.692001,40.296101,361032
2012-01-24,84.500000,97.565903,67.872002,84.839996,47.030220,362920
2012-01-25,86.110001,97.646500,85.500000,87.050003,48.255325,347875
2012-01-26,90.139999,100.072998,60.914001,73.966904,41.002834,317550
2012-01-27,89.769997,102.809998,58.110001,90.800003,50.334095,318425
2012-01-30,89.389999,104.154999,88.919998,88.919998,49.291931,301348
2012-01-31,89.309998,103.132004,90.169998,90.169998,49.984863,338879
2012-02-01,90.250000,92.750000,55.645802,92.680000,51.376259,2596
2012-02-02,92.000000,104.741997,36.431999,92.620003,51.342991,259243
2012-02-03,94.300003,106.800003,41.791500,106.800003,59.203548,266769
2012-02-06,92.209999,110.820000,46.770000,93.800003,51.997120,287536384
